
		Printed:
	    28/08/2021

		Title:
		History Search - CMS

Date;From 01 Apr 18 To 19 Jun 21
Fleet;VJC_all
A/C Type;A320
A/C ID;VN-A690
Message Type;ALL
Ata - subAta;ALL - ALL
Correlated;ALL
Text;ALL


Fault Tracking;Leg;A/C ID;Flight Number;Flight phase;Date Time;Transmission Date;ATA;Source;Title;Priority;Correlated;Report;Work;Note
;-6634;VN-A690;VJ306;06-CRUISE;02 May 18 - 06:07;02 May 18 - 06:08;228334;AFS;AFS:FMGC1;;No;CFR;;
;-6631;VN-A690;VJ218;02-ENG START;02 May 18 - 10:00;02 May 18 - 10:00;3200;;L/G SYS DISAGREE;High;No;CFR;;
;-6631;VN-A690;VJ218;02-ENG START;02 May 18 - 10:00;02 May 18 - 10:01;231133;CFDS;NO HF 1 DATA;;No;CFR;;
;-6631;VN-A690;VJ218;02-ENG START;02 May 18 - 10:00;02 May 18 - 10:01;228334;AFS;AFS:FMGC2;;No;CFR;;
;-6630;VN-A690;VJ219;06-CRUISE;02 May 18 - 11:24;02 May 18 - 12:42;344133;EIS 2;WXR1(1SQ1)/DU ND FO (3WT2)/DMC2(1WT2);;No;CFR;;
;-6630;VN-A690;VJ219;06-CRUISE;02 May 18 - 11:32;02 May 18 - 12:44;2200;;AUTO FLT AP OFF;;Yes;CFR;;
;-6630;VN-A690;VJ219;06-CRUISE;02 May 18 - 11:31;02 May 18 - 12:44;228334;AFS;AFS:FMGC2/C-M ARINC LINK;;Yes;CFR;;
;-6630;VN-A690;VJ219;08-TOUCH DOWN;02 May 18 - 11:36;02 May 18 - 12:45;3200;;L/G SYS DISAGREE;High;No;CFR;;
;-6628;VN-A690;VJ325;02-ENG START;02 May 18 - 14:45;02 May 18 - 14:46;228334;AFS;AFS:FMGC2/C-M ARINC LINK;;No;CFR;;
;-6628;VN-A690;VJ325;02-ENG START;02 May 18 - 14:45;02 May 18 - 14:46;231133;CFDS;NO HF 2 DATA;;No;CFR;;
;-6628;VN-A690;VJ325;05-LIFT OFF;02 May 18 - 14:51;02 May 18 - 14:52;228334;EFCS 1;FMGC2;;No;CFR;;
;-6628;VN-A690;VJ325;06-CRUISE;02 May 18 - 14:53;02 May 18 - 14:54;344133;EIS 2;WXR1(1SQ1)/DU ND FO (3WT2)/DMC2(1WT2);;No;CFR;;
;-6624;VN-A690;VJ403;02-ENG START;02 May 18 - 23:08;02 May 18 - 23:09;732120;EIU2FADEC;T25 SNSR, J12, ECU ENG2B;;No;CFR;;
;-6624;VN-A690;VJ403;02-ENG START;02 May 18 - 23:08;02 May 18 - 23:09;228334;AFS;AFS:FMGC2/C-M ARINC LINK;;No;CFR;;
;-6624;VN-A690;VJ403;02-ENG START;02 May 18 - 23:08;02 May 18 - 23:09;231133;CFDS;NO HF 2 DATA;;No;CFR;;
;-6624;VN-A690;VJ403;06-CRUISE;02 May 18 - 23:24;02 May 18 - 23:25;344133;EIS 2;WXR1(1SQ1)/DU ND FO (3WT2)/DMC2(1WT2);;No;CFR;;
;-6624;VN-A690;VJ403;06-CRUISE;02 May 18 - 23:28;02 May 18 - 23:30;301151;TEMP CTL;R WAI VALVE(10DL);;No;CFR;;
;-6621;VN-A690;VJ901;02-ENG START;03 May 18 - 04:20;03 May 18 - 04:21;228334;AFS;AFS:FMGC2/C-M ARINC LINK;;No;CFR;;
;-6621;VN-A690;VJ901;02-ENG START;03 May 18 - 04:20;03 May 18 - 04:22;231133;CFDS;NO HF 2 DATA;;No;CFR;;
;-6621;VN-A690;VJ901;06-CRUISE;03 May 18 - 04:29;03 May 18 - 04:30;344133;EIS 2;WXR1(1SQ1)/DU ND FO (3WT2)/DMC2(1WT2);;No;CFR;;
;-6620;VN-A690;VJ902;06-CRUISE;03 May 18 - 05:42;03 May 18 - 07:46;344333;CFDS;NO TCAS DATA;;No;CFR;;
;-6614;VN-A690;VJ461;02-ENG START;04 May 18 - 00:18;04 May 18 - 00:19;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6609;VN-A690;VJ464;06-CRUISE;04 May 18 - 08:07;04 May 18 - 08:22;344334;ATC 2;ATC 2:NO DATA FROM TCAS;;No;CFR;;
;-6608;VN-A690;VJ957;02-ENG START;04 May 18 - 10:32;04 May 18 - 10:40;231133;HF 1;CPLR1(4RE1);;No;CFR;;
;-6608;VN-A690;VJ957;06-CRUISE;04 May 18 - 12:00;04 May 18 - 12:01;2800;;FUEL AUTO FEED FAULT;Low;No;CFR;;
;-6607;VN-A690;VJ958;06-CRUISE;04 May 18 - 14:15;04 May 18 - 14:20;344334;ATC 2;ATC 2:NO DATA FROM TCAS;;No;CFR;;
;-6606;VN-A690;VJ183;02-ENG START;04 May 18 - 16:15;04 May 18 - 16:16;231133;HF 1;CPLR1(4RE1);;No;CFR;;
